Date,USD AM,USD PM,GBP AM,GBP PM,EUR AM,EUR PM
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
30-12-2011,1574.500,1531.000,1020.349,992.673,1217.052,1184.160
